Predicted values against Expected values.....

Test Day=1, Predicted=18.910282, Expected=18.366461
Test Day=2, Predicted=18.360218, Expected=18.407940
Test Day=3, Predicted=18.404240, Expected=18.707880
Test Day=4, Predicted=18.714100, Expected=18.947193
Test Day=5, Predicted=18.960722, Expected=18.867422
Test Day=6, Predicted=18.880619, Expected=18.309025
Test Day=7, Predicted=18.311388, Expected=18.069712
Test Day=8, Predicted=18.066603, Expected=18.187773
Test Day=9, Predicted=18.189623, Expected=18.487711
Test Day=10, Predicted=18.497786, Expected=18.229254
Test Day=11, Predicted=18.238319, Expected=17.808064
Test Day=12, Predicted=17.808521, Expected=17.769773
Test Day=13, Predicted=17.769842, Expected=18.149483
Test Day=14, Predicted=18.158092, Expected=18.526001
Test Day=15, Predicted=18.543331, Expected=18.707880
Test Day=16, Predicted=18.728088, Expected=18.487711
Test Day=17, Predicted=18.502464, Expected=18.226063
Test Day=18, Predicted=18.233150, Expected=18.478140
Test Day=19, Predicted=18.487484, Expected=18.506857
Test Day=20, Predicted=18.519503, Expected=18.328169
Test Day=21, Predicted=18.337498, Expected=18.423895
Test Day=22, Predicted=18.433245, Expected=18.889757
Test Day=23, Predicted=18.906013, Expected=18.959955
Test Day=24, Predicted=18.979214, Expected=19.145023
Test Day=25, Predicted=19.163565, Expected=19.339664
Test Day=26, Predicted=19.359243, Expected=19.189695
Test Day=27, Predicted=19.205418, Expected=19.406673
Test Day=28, Predicted=19.421610, Expected=19.132261
Test Day=29, Predicted=19.143673, Expected=18.985483
Test Day=30, Predicted=18.991785, Expected=18.624918
Test Day=31, Predicted=18.626209, Expected=18.940811
Test Day=32, Predicted=18.946465, Expected=18.656826
Test Day=33, Predicted=18.663242, Expected=17.524078
Test Day=34, Predicted=17.508410, Expected=16.908247
Test Day=35, Predicted=16.882639, Expected=16.592354
Test Day=36, Predicted=16.570850, Expected=16.742323
Test Day=37, Predicted=16.732496, Expected=16.592354
Test Day=38, Predicted=16.589287, Expected=16.921011
Test Day=39, Predicted=16.925596, Expected=16.815712
Test Day=40, Predicted=16.823936, Expected=16.767851
Test Day=41, Predicted=16.774879, Expected=16.018003
Test Day=42, Predicted=16.013294, Expected=15.890370
Test Day=43, Predicted=15.882912, Expected=16.091393
Test Day=44, Predicted=16.092690, Expected=16.400904
Test Day=45, Predicted=16.411356, Expected=16.432812
Test Day=46, Predicted=16.446287, Expected=15.986095
